attack,eps,accuracy,auc
fgsm,0.0,0.685142477426416,0.7037116951148048
fgsm,0.000980392156862745,0.5422350779814721,0.4586796412731651
fgsm,0.00196078431372549,0.3810733690341242,0.25004833156408957
fgsm,0.0029411764705882353,0.25153422194425984,0.11237153157408031
fgsm,0.00392156862745098,0.15963725911738263,0.04380271107788993
fgsm,0.00784313725490196,0.027987335339874134,0.00042069264133826235
pgd,0.0,0.685142477426416,0.7037116951148048
pgd,0.000980392156862745,0.5322675214009303,0.4440968166280655
pgd,0.00196078431372549,0.3319782668178087,0.2003178355901911
pgd,0.0029411764705882353,0.16772856975335185,0.057164542047448
pgd,0.00392156862745098,0.07282179572372278,0.010688487500776975
pgd,0.00784313725490196,0.0008599460579290936,3.0318098261031917e-07
